DataLocation,DataType,Title
/user/dataset/upload/folder/oqmd/dataAll/dir2/2454,oqmd,Lu
/user/dataset/upload/folder/oqmd/dataAll/dir2/2689,oqmd,Tm
/user/dataset/upload/folder/oqmd/dataAll/dir3/3346,oqmd,Ne
/user/dataset/upload/folder/oqmd/dataAll/dir3/3588,oqmd,La
/user/dataset/upload/folder/oqmd/dataAll/dir3/3592,oqmd,Pr
/user/dataset/upload/folder/oqmd/dataAll/dir3/3612,oqmd,Kr
/user/dataset/upload/folder/oqmd/dataAll/dir3/3619,oqmd,V
/user/dataset/upload/folder/oqmd/dataAll/dir3/3620,oqmd,Rb
/user/dataset/upload/folder/oqmd/dataAll/dir3/3624,oqmd,Ta
/user/dataset/upload/folder/oqmd/dataAll/dir3/3629,oqmd,V
/user/dataset/upload/folder/oqmd/dataAll/dir3/3637,oqmd,Ne
/user/dataset/upload/folder/oqmd/dataAll/dir3/3638,oqmd,Al
/user/dataset/upload/folder/oqmd/dataAll/dir3/3681,oqmd,Ne
/user/dataset/upload/folder/oqmd/dataAll/dir3/3697,oqmd,K
/user/dataset/upload/folder/oqmd/dataAll/dir3/3721,oqmd,Rh
/user/dataset/upload/folder/oqmd/dataAll/dir3/3723,oqmd,Er
/user/dataset/upload/folder/oqmd/dataAll/dir3/3726,oqmd,Zr
/user/dataset/upload/folder/oqmd/dataAll/dir3/3729,oqmd,Ho
/user/dataset/upload/folder/oqmd/dataAll/dir3/3732,oqmd,Lu
/user/dataset/upload/folder/oqmd/dataAll/dir3/3749,oqmd,Tb
/user/dataset/upload/folder/oqmd/dataAll/dir3/3763,oqmd,Ne
/user/dataset/upload/folder/oqmd/dataAll/dir3/3788,oqmd,P
/user/dataset/upload/folder/oqmd/dataAll/dir3/3794,oqmd,Ru
/user/dataset/upload/folder/oqmd/dataAll/dir3/3798,oqmd,Ir
/user/dataset/upload/folder/oqmd/dataAll/dir3/3804,oqmd,Gd
/user/dataset/upload/folder/oqmd/dataAll/dir3/3829,oqmd,Fe
/user/dataset/upload/folder/oqmd/dataAll/dir3/3833,oqmd,Ni
/user/dataset/upload/folder/oqmd/dataAll/dir3/3845,oqmd,Fe
/user/dataset/upload/folder/oqmd/dataAll/dir3/3847,oqmd,Tc
/user/dataset/upload/folder/oqmd/dataAll/dir3/3849,oqmd,Re
/user/dataset/upload/folder/oqmd/dataAll/dir3/3853,oqmd,Pt
/user/dataset/upload/folder/oqmd/dataAll/dir3/3859,oqmd,YbSe
/user/dataset/upload/folder/oqmd/dataAll/dir3/3861,oqmd,SiP
/user/dataset/upload/folder/oqmd/dataAll/dir3/3908,oqmd,SmZn
/user/dataset/upload/folder/oqmd/dataAll/dir3/3911,oqmd,SiC
/user/dataset/upload/folder/oqmd/dataAll/dir3/3976,oqmd,U
/user/dataset/upload/folder/oqmd/dataAll/dir3/3977,oqmd,Zr
/user/dataset/upload/folder/oqmd/dataAll/dir3/3980,oqmd,Os
/user/dataset/upload/folder/oqmd/dataAll/dir3/3981,oqmd,ZnNi
/user/dataset/upload/folder/oqmd/dataAll/dir3/3983,oqmd,TiAg
/user/dataset/upload/folder/oqmd/dataAll/dir3/3984,oqmd,ZnNi
/user/dataset/upload/folder/oqmd/dataAll/dir3/3986,oqmd,YbTe
/user/dataset/upload/folder/oqmd/dataAll/dir3/3987,oqmd,TmAg
/user/dataset/upload/folder/oqmd/dataAll/dir3/3991,oqmd,UTe
/user/dataset/upload/folder/oqmd/dataAll/dir3/3992,oqmd,YAg
/user/dataset/upload/folder/oqmd/dataAll/dir3/3994,oqmd,LiBi
/user/dataset/upload/folder/oqmd/dataAll/dir3/3995,oqmd,TcB
/user/dataset/upload/folder/oqmd/dataAll/dir3/3997,oqmd,LiTl
/user/dataset/upload/folder/oqmd/dataAll/dir3/3998,oqmd,YbAg
/user/dataset/upload/folder/oqmd/dataAll/dir3/3999,oqmd,PrTl
/user/dataset/upload/folder/oqmd/dataAll/dir4/4001,oqmd,LuMg
/user/dataset/upload/folder/oqmd/dataAll/dir4/4003,oqmd,MnAu
/user/dataset/upload/folder/oqmd/dataAll/dir4/4004,oqmd,YbZn
/user/dataset/upload/folder/oqmd/dataAll/dir4/4007,oqmd,SiC
/user/dataset/upload/folder/oqmd/dataAll/dir4/4044,oqmd,Yb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4047,oqmd,Eu
/user/dataset/upload/folder/oqmd/dataAll/dir4/4049,oqmd,Sb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4050,oqmd,Yb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4060,oqmd,Sr
/user/dataset/upload/folder/oqmd/dataAll/dir4/4064,oqmd,Gd
/user/dataset/upload/folder/oqmd/dataAll/dir4/4069,oqmd,TaN
/user/dataset/upload/folder/oqmd/dataAll/dir4/4071,oqmd,ErIr
/user/dataset/upload/folder/oqmd/dataAll/dir4/4073,oqmd,PrZn
/user/dataset/upload/folder/oqmd/dataAll/dir4/4075,oqmd,Tm
/user/dataset/upload/folder/oqmd/dataAll/dir4/4076,oqmd,CaSe
/user/dataset/upload/folder/oqmd/dataAll/dir4/4086,oqmd,CaTe
/user/dataset/upload/folder/oqmd/dataAll/dir4/4108,oqmd,Ti
/user/dataset/upload/folder/oqmd/dataAll/dir4/4113,oqmd,Sb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4117,oqmd,Ne
/user/dataset/upload/folder/oqmd/dataAll/dir4/4136,oqmd,Se
/user/dataset/upload/folder/oqmd/dataAll/dir4/4137,oqmd,Si
/user/dataset/upload/folder/oqmd/dataAll/dir4/4153,oqmd,CaPb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4154,oqmd,HPd
/user/dataset/upload/folder/oqmd/dataAll/dir4/4158,oqmd,TiRh
/user/dataset/upload/folder/oqmd/dataAll/dir4/4160,oqmd,VRh
/user/dataset/upload/folder/oqmd/dataAll/dir4/4161,oqmd,CuAu
/user/dataset/upload/folder/oqmd/dataAll/dir4/4162,oqmd,NaBi
/user/dataset/upload/folder/oqmd/dataAll/dir4/4164,oqmd,ErMg
/user/dataset/upload/folder/oqmd/dataAll/dir4/4165,oqmd,SiRh
/user/dataset/upload/folder/oqmd/dataAll/dir4/4183,oqmd,Si
/user/dataset/upload/folder/oqmd/dataAll/dir4/4191,oqmd,Li
/user/dataset/upload/folder/oqmd/dataAll/dir4/4200,oqmd,P
/user/dataset/upload/folder/oqmd/dataAll/dir4/4201,oqmd,P
/user/dataset/upload/folder/oqmd/dataAll/dir4/4208,oqmd,Na
/user/dataset/upload/folder/oqmd/dataAll/dir4/4213,oqmd,Fe
/user/dataset/upload/folder/oqmd/dataAll/dir4/4220,oqmd,Np
/user/dataset/upload/folder/oqmd/dataAll/dir4/4222,oqmd,Mg
/user/dataset/upload/folder/oqmd/dataAll/dir4/4224,oqmd,Li
/user/dataset/upload/folder/oqmd/dataAll/dir4/4236,oqmd,MnAu
/user/dataset/upload/folder/oqmd/dataAll/dir4/4237,oqmd,VFe
/user/dataset/upload/folder/oqmd/dataAll/dir4/4239,oqmd,TaRu
/user/dataset/upload/folder/oqmd/dataAll/dir4/4247,oqmd,Ge
/user/dataset/upload/folder/oqmd/dataAll/dir4/4258,oqmd,Sb
/user/dataset/upload/folder/oqmd/dataAll/dir4/4260,oqmd,Th
/user/dataset/upload/folder/oqmd/dataAll/dir4/4265,oqmd,Tm
/user/dataset/upload/folder/oqmd/dataAll/dir4/4267,oqmd,H
/user/dataset/upload/folder/oqmd/dataAll/dir4/4268,oqmd,H
/user/dataset/upload/folder/oqmd/dataAll/dir4/4274,oqmd,TcB
/user/dataset/upload/folder/oqmd/dataAll/dir4/4276,oqmd,HoAs
/user/dataset/upload/folder/oqmd/dataAll/dir4/4278,oqmd,TcB
